SPOT_PRICE,TRADE_DATE,TRADE_JDN
0.442,08-Mar-94,2449420
0.454,04-Mar-94,2449416
0.458,02-Mar-94,2449414
0.452,23-Feb-94,2449407
0.439,18-Feb-94,2449402
0.444,16-Feb-94,2449400
0.514,10-Feb-94,2449394
0.548,08-Feb-94,2449392
0.573,04-Feb-94,2449388
0.551,31-Jan-94,2449384
0.576,27-Jan-94,2449380
0.519,21-Jan-94,2449374
0.54,19-Jan-94,2449372
0.574,17-Jan-94,2449370
0.512,11-Jan-94,2449364
0.5,07-Jan-94,2449360
0.473,03-Jan-94,2449356
0.458,29-Dec-93,2449351
0.45,27-Dec-93,2449349
0.451,20-Dec-93,2449342
0.443,16-Dec-93,2449338
0.427,14-Dec-93,2449336
0.419,08-Dec-93,2449330
0.447,06-Dec-93,2449328
0.469,02-Dec-93,2449324
0.527,24-Nov-93,2449316
0.549,22-Nov-93,2449314
0.544,17-Nov-93,2449309
0.536,15-Nov-93,2449307
0.539,11-Nov-93,2449303
0.528,05-Nov-93,2449297
0.553,03-Nov-93,2449295
0.555,01-Nov-93,2449293
0.559,26-Oct-93,2449287
0.563,22-Oct-93,2449283
0.568,20-Oct-93,2449281
0.576,14-Oct-93,2449275
0.575,13-Oct-93,2449274
0.574,07-Oct-93,2449268
0.565,05-Oct-93,2449266
0.576,01-Oct-93,2449262
0.56,27-Sep-93,2449258
0.554,23-Sep-93,2449254
0.553,21-Sep-93,2449252
0.514,14-Sep-93,2449245
0.512,10-Sep-93,2449241
0.523,03-Sep-93,2449234
0.52,01-Sep-93,2449232
0.524,30-Aug-93,2449230
0.512,24-Aug-93,2449224
0.509,20-Aug-93,2449220
0.498,18-Aug-93,2449218
0.501,12-Aug-93,2449212
0.477,10-Aug-93,2449210
0.488,04-Aug-93,2449204
0.496,02-Aug-93,2449202
0.496,29-Jul-93,2449198
0.491,23-Jul-93,2449192
0.49,21-Jul-93,2449190
0.487,15-Jul-93,2449184
0.497,13-Jul-93,2449182
0.491,08-Jul-93,2449177
0.511,01-Jul-93,2449170
0.524,29-Jun-93,2449168
0.519,23-Jun-93,2449162
3.006,16-Aug-11,2455790
2.961,12-Aug-11,2455786
2.89,10-Aug-11,2455784
2.863,08-Aug-11,2455782
2.954,04-Aug-11,2455778
3.137,02-Aug-11,2455776
3.161,29-Jul-11,2455772
3.17,26-Jul-11,2455769
3.188,22-Jul-11,2455765
3.178,20-Jul-11,2455763
3.131,18-Jul-11,2455761
3.135,14-Jul-11,2455757
3.117,12-Jul-11,2455755
3.137,08-Jul-11,2455751
3.02,06-Jul-11,2455749
2.976,01-Jul-11,2455744
2.984,29-Jun-11,2455742
2.804,02-Feb-11,2455595
2.742,31-Jan-11,2455593
2.69,27-Jan-11,2455589
2.618,25-Jan-11,2455587
2.669,21-Jan-11,2455583
2.668,19-Jan-11,2455581
2.632,13-Jan-11,2455575
2.615,11-Jan-11,2455573
2.502,07-Jan-11,2455569
2.524,05-Jan-11,2455567
2.528,03-Jan-11,2455565
2.459,30-Dec-10,2455561
2.48,28-Dec-10,2455559
2.537,23-Dec-10,2455554
2.435,21-Dec-10,2455552
2.462,16-Dec-10,2455547
2.43,14-Dec-10,2455545
2.415,10-Dec-10,2455541
2.418,08-Dec-10,2455539
2.439,06-Dec-10,2455537
2.37,01-Dec-10,2455532
2.369,29-Nov-10,2455530
2.33,24-Nov-10,2455525
2.248,22-Nov-10,2455523
2.288,18-Nov-10,2455519
2.298,16-Nov-10,2455517
2.419,11-Nov-10,2455512
2.393,09-Nov-10,2455510
2.366,05-Nov-10,2455506
2.302,03-Nov-10,2455504
2.286,01-Nov-10,2455502
2.236,28-Oct-10,2455498
2.255,25-Oct-10,2455495
2.218,21-Oct-10,2455491
2.176,19-Oct-10,2455489
2.224,15-Oct-10,2455485
2.234,12-Oct-10,2455482
2.267,08-Oct-10,2455478
2.28,06-Oct-10,2455476
2.266,04-Oct-10,2455474
2.239,30-Sep-10,2455470
2.136,28-Sep-10,2455468
2.13,24-Sep-10,2455464
2.099,22-Sep-10,2455462
2.098,17-Sep-10,2455457
2.126,15-Sep-10,2455455
2.129,13-Sep-10,2455453
2.076,09-Sep-10,2455449
2.066,07-Sep-10,2455447
2.066,02-Sep-10,2455442
2.01,31-Aug-10,2455440
2.098,27-Aug-10,2455436
2.024,25-Aug-10,2455434
2.006,23-Aug-10,2455432
2.057,19-Aug-10,2455428
2.059,17-Aug-10,2455426
2.027,12-Aug-10,2455421
2.141,10-Aug-10,2455419
2.166,06-Aug-10,2455415
2.194,04-Aug-10,2455413
2.155,02-Aug-10,2455411
2.041,29-Jul-10,2455407
2.019,27-Jul-10,2455405
2.075,23-Jul-10,2455401
2.009,21-Jul-10,2455399
2.029,19-Jul-10,2455397
2.037,15-Jul-10,2455393
2.004,12-Jul-10,2455390
2.029,08-Jul-10,2455386
1.913,06-Jul-10,2455384
1.917,01-Jul-10,2455379
2.019,29-Jun-10,2455377
2.128,25-Jun-10,2455373
2.057,23-Jun-10,2455371
2.141,21-Jun-10,2455369
2.152,17-Jun-10,2455365
2.08,15-Jun-10,2455363
2.036,11-Jun-10,2455359
2.02,09-Jun-10,2455357
1.978,07-Jun-10,2455355
2.058,03-Jun-10,2455351
1.99,01-Jun-10,2455349
2.037,27-May-10,2455344
1.915,25-May-10,2455342
1.922,21-May-10,2455338
1.974,18-May-10,2455335
2.079,14-May-10,2455331
2.168,12-May-10,2455329
2.124,10-May-10,2455327
2.108,06-May-10,2455323
2.262,04-May-10,2455321
2.324,30-Apr-10,2455317
2.257,28-Apr-10,2455315
2.236,26-Apr-10,2455313
2.219,22-Apr-10,2455309
2.163,19-Apr-10,2455306
2.26,15-Apr-10,2455302
2.223,13-Apr-10,2455300
2.244,09-Apr-10,2455296
2.252,07-Apr-10,2455294
2.29,05-Apr-10,2455292
2.188,31-Mar-10,2455287
2.147,29-Mar-10,2455285
2.089,25-Mar-10,2455281
2.107,23-Mar-10,2455279
2.086,19-Mar-10,2455275
2.134,17-Mar-10,2455273
2.064,15-Mar-10,2455271
2.123,10-Mar-10,2455266
2.056,16-Apr-07,2454207
2.103,12-Apr-07,2454203
2.031,10-Apr-07,2454201
2.03,05-Apr-07,2454196
1.983,03-Apr-07,2454194
2.017,30-Mar-07,2454190
1.95,28-Mar-07,2454188
1.904,26-Mar-07,2454186
1.829,22-Mar-07,2454182
1.793,20-Mar-07,2454180
1.797,15-Mar-07,2454175
1.805,13-Mar-07,2454173
1.781,09-Mar-07,2454169
1.837,07-Mar-07,2454167
1.8,05-Mar-07,2454165
1.856,01-Mar-07,2454161
1.785,27-Feb-07,2454159
1.785,23-Feb-07,2454155
1.727,21-Feb-07,2454153
1.692,16-Feb-07,2454148
1.693,19-Sep-06,2453998
1.696,15-Sep-06,2453994
1.736,13-Sep-06,2453992
1.851,11-Sep-06,2453990
1.966,06-Sep-06,2453985
2.015,01-Sep-06,2453980
2.043,30-Aug-06,2453978
2.051,28-Aug-06,2453976
2.16,24-Aug-06,2453972
2.168,22-Aug-06,2453970
2.104,18-Aug-06,2453966
2.103,16-Aug-06,2453964
2.054,14-Aug-06,2453962
2.092,10-Aug-06,2453958
2.198,08-Aug-06,2453956
2.22,04-Aug-06,2453952
2.3,02-Aug-06,2453950
2.167,31-Jul-06,2453948
2.17,27-Jul-06,2453944
2.14,25-Jul-06,2453942
2.14,21-Jul-06,2453938
2.176,19-Jul-06,2453936
2.195,17-Jul-06,2453934
2.096,12-Jul-06,2453929
2.045,10-Jul-06,2453927
2.147,06-Jul-06,2453923
2.065,30-Jun-06,2453917
2.026,28-Jun-06,2453915
2.037,26-Jun-06,2453913
2.063,22-Jun-06,2453909
1.991,20-Jun-06,2453907
2.048,16-Jun-06,2453903
2.078,13-Jun-06,2453900
2.218,09-Jun-06,2453896
2.13,07-Jun-06,2453894
2.143,05-Jun-06,2453892
2.06,01-Jun-06,2453888
2.062,31-May-06,2453887
2.078,25-May-06,2453881
2.047,23-May-06,2453879
2.003,19-May-06,2453875
2.008,17-May-06,2453873
2.023,15-May-06,2453871
2.177,11-May-06,2453867
2.076,09-May-06,2453865
2.034,05-May-06,2453861
2.088,03-May-06,2453859
2.151,01-May-06,2453857
2.08,27-Apr-06,2453853
2.169,25-Apr-06,2453851
2.213,21-Apr-06,2453847
2.129,18-Apr-06,2453844
2.075,13-Apr-06,2453839
2.042,11-Apr-06,2453837
1.984,07-Apr-06,2453833
1.978,05-Apr-06,2453831
1.952,03-Apr-06,2453829
1.972,30-Mar-06,2453825
1.924,28-Mar-06,2453823
1.882,24-Mar-06,2453819
1.835,22-Mar-06,2453817
1.82,20-Mar-06,2453815
1.901,16-Mar-06,2453811
1.853,13-Mar-06,2453808
1.827,09-Mar-06,2453804
1.804,07-Mar-06,2453802
1.924,03-Mar-06,2453798
1.838,01-Mar-06,2453796
1.758,27-Feb-06,2453794
1.763,23-Feb-06,2453790
1.743,21-Feb-06,2453788
1.739,16-Feb-06,2453783
1.687,14-Feb-06,2453781
1.712,10-Feb-06,2453777
1.735,08-Feb-06,2453775
1.774,06-Feb-06,2453773
1.802,02-Feb-06,2453769
1.847,31-Jan-06,2453767
1.816,26-Jan-06,2453762
1.845,24-Jan-06,2453760
1.94,20-Jan-06,2453756
1.781,18-Jan-06,2453754
1.72,13-Jan-06,2453749
1.719,11-Jan-06,2453747
1.792,09-Jan-06,2453745
1.813,05-Jan-06,2453741
1.819,03-Jan-06,2453739
1.761,29-Dec-05,2453734
1.639,27-Dec-05,2453732
1.695,21-Dec-05,2453726
1.694,19-Dec-05,2453724
1.76,15-Dec-05,2453720
1.806,13-Dec-05,2453718
1.722,09-Dec-05,2453714
1.747,06-Dec-05,2453711
1.68,02-Dec-05,2453707
1.607,30-Nov-05,2453705
1.585,28-Nov-05,2453703
1.684,22-Nov-05,2453697
1.647,18-Nov-05,2453693
1.631,15-Nov-05,2453690
1.69,11-Nov-05,2453686
1.779,09-Nov-05,2453684
1.76,07-Nov-05,2453682
1.828,03-Nov-05,2453678
1.824,01-Nov-05,2453676
1.964,28-Oct-05,2453672
1.956,25-Oct-05,2453669
1.933,21-Oct-05,2453665
2.138,19-Oct-05,2453663
2.568,17-Oct-05,2453661
2.8,12-Oct-05,2453656
2.782,10-Oct-05,2453654
2.745,06-Oct-05,2453650
3.1,04-Oct-05,2453648
2.645,30-Sep-05,2453644
2.95,28-Sep-05,2453642
2.395,26-Sep-05,2453640
2.253,22-Sep-05,2453636
2.165,19-Sep-05,2453633
1.965,15-Sep-05,2453629
1.883,13-Sep-05,2453627
1.949,09-Sep-05,2453623
2.089,07-Sep-05,2453621
2.205,02-Sep-05,2453616
0.681,05-Apr-02,2452370
0.705,03-Apr-02,2452368
0.69,01-Apr-02,2452366
0.67,28-Mar-02,2452362
0.653,26-Mar-02,2452360
0.633,22-Mar-02,2452356
0.648,20-Mar-02,2452354
0.649,18-Mar-02,2452352
0.629,14-Mar-02,2452348
0.63,12-Mar-02,2452346
0.614,08-Mar-02,2452342
0.591,06-Mar-02,2452340
0.589,04-Mar-02,2452338
0.577,28-Feb-02,2452334
0.563,26-Feb-02,2452332
0.553,22-Feb-02,2452328
0.541,20-Feb-02,2452326
0.561,15-Feb-02,2452321
0.561,13-Feb-02,2452319
0.566,11-Feb-02,2452317
0.53,07-Feb-02,2452313
0.532,06-Feb-02,2452312
0.543,04-Feb-02,2452310
0.538,31-Jan-02,2452306
0.526,29-Jan-02,2452304
0.544,25-Jan-02,2452300
0.526,23-Jan-02,2452298
0.509,18-Jan-02,2452293
0.52,16-Jan-02,2452291
0.505,14-Jan-02,2452289
0.547,10-Jan-02,2452285
0.555,08-Jan-02,2452283
0.569,04-Jan-02,2452279
0.563,02-Jan-02,2452277
0.551,28-Dec-01,2452272
0.581,26-Dec-01,2452270
0.529,20-Dec-01,2452264
0.537,18-Dec-01,2452262
0.513,14-Dec-01,2452258
0.466,12-Dec-01,2452256
0.469,10-Dec-01,2452254
0.506,05-Dec-01,2452249
0.534,03-Dec-01,2452247
0.503,29-Nov-01,2452243
0.524,27-Nov-01,2452241
0.52,21-Nov-01,2452235
0.506,19-Nov-01,2452233
0.501,15-Nov-01,2452229
0.592,13-Nov-01,2452227
0.614,09-Nov-01,2452223
0.559,07-Nov-01,2452221
0.561,05-Nov-01,2452219
0.576,01-Nov-01,2452215
0.616,30-Oct-01,2452213
0.612,26-Oct-01,2452209
0.619,24-Oct-01,2452207
0.616,19-Oct-01,2452202
0.601,17-Oct-01,2452200
0.61,15-Oct-01,2452198
0.656,11-Oct-01,2452194
0.637,09-Oct-01,2452192
0.632,05-Oct-01,2452188
0.627,03-Oct-01,2452186
0.646,01-Oct-01,2452184
0.645,27-Sep-01,2452180
0.603,25-Sep-01,2452178
0.667,21-Sep-01,2452174
0.693,19-Sep-01,2452172
0.768,17-Sep-01,2452170
0.776,13-Sep-01,2452166
0.871,11-Sep-01,2452164
0.821,07-Sep-01,2452160
0.798,05-Sep-01,2452158
0.794,31-Aug-01,2452153
0.793,29-Aug-01,2452151
0.779,27-Aug-01,2452149
0.761,23-Aug-01,2452145
0.761,21-Aug-01,2452143
0.732,17-Aug-01,2452139
0.767,15-Aug-01,2452137
0.767,13-Aug-01,2452135
0.763,09-Aug-01,2452131
0.757,07-Aug-01,2452129
0.744,06-Aug-01,2452128
0.754,02-Aug-01,2452124
0.728,31-Jul-01,2452122
0.729,27-Jul-01,2452118
0.718,25-Jul-01,2452116
0.696,23-Jul-01,2452114
0.669,19-Jul-01,2452110
0.678,17-Jul-01,2452108
0.69,13-Jul-01,2452104
0.704,11-Jul-01,2452102
0.74,09-Jul-01,2452100
0.73,05-Jul-01,2452096
0.726,02-Jul-01,2452093
0.726,29-Jun-01,2452090
0.714,27-Jun-01,2452088
0.741,25-Jun-01,2452086
0.75,21-Jun-01,2452082
0.778,19-Jun-01,2452080
0.812,15-Jun-01,2452076
0.807,13-Jun-01,2452074
0.792,11-Jun-01,2452072
0.767,07-Jun-01,2452068
0.766,05-Jun-01,2452066
0.771,01-Jun-01,2452062
0.798,30-May-01,2452060
0.817,25-May-01,2452055
0.845,23-May-01,2452053
0.838,21-May-01,2452051
0.807,17-May-01,2452047
0.796,15-May-01,2452045
0.833,11-May-01,2452041
0.848,09-May-01,2452039
0.824,07-May-01,2452037
0.842,03-May-01,2452033
0.815,01-May-01,2452031
0.787,30-Apr-01,2452030
0.789,26-Apr-01,2452026
0.749,24-Apr-01,2452024
0.776,20-Apr-01,2452020
0.784,18-Apr-01,2452018
0.822,16-Apr-01,2452016
0.801,11-Apr-01,2452011
0.748,09-Apr-01,2452009
0.741,05-Apr-01,2452005
0.718,03-Apr-01,2452003
0.724,30-Mar-01,2451999
0.72,28-Mar-01,2451997
0.748,26-Mar-01,2451995
0.741,22-Mar-01,2451991
0.713,20-Mar-01,2451989
0.719,16-Mar-01,2451985
0.726,14-Mar-01,2451983
0.768,12-Mar-01,2451981
0.773,08-Mar-01,2451977
0.801,06-Mar-01,2451975
0.775,02-Mar-01,2451971
0.78,28-Feb-01,2451969
0.8,27-Feb-01,2451968
0.781,23-Feb-01,2451964
0.771,21-Feb-01,2451962
0.778,16-Feb-01,2451957
1.039,20-Sep-00,2451808
1.059,18-Sep-00,2451806
1.04,14-Sep-00,2451802
1.1,12-Sep-00,2451800
1.033,08-Sep-00,2451796
1.026,06-Sep-00,2451794
1,01-Sep-00,2451789
1.015,30-Aug-00,2451787
1.023,28-Aug-00,2451785
0.965,24-Aug-00,2451781
0.914,22-Aug-00,2451779
0.91,18-Aug-00,2451775
0.875,16-Aug-00,2451773
0.884,14-Aug-00,2451771
0.87,10-Aug-00,2451767
0.832,08-Aug-00,2451765
0.806,07-Aug-00,2451764
0.821,03-Aug-00,2451760
0.8,01-Aug-00,2451758
0.787,28-Jul-00,2451754
0.785,26-Jul-00,2451752
0.773,24-Jul-00,2451750
0.816,20-Jul-00,2451746
0.824,18-Jul-00,2451744
0.818,14-Jul-00,2451740
0.803,12-Jul-00,2451738
0.78,10-Jul-00,2451736
0.791,06-Jul-00,2451732
0.835,30-Jun-00,2451726
0.818,28-Jun-00,2451724
0.805,26-Jun-00,2451722
0.817,22-Jun-00,2451718
0.775,20-Jun-00,2451716
0.75,16-Jun-00,2451712
0.795,14-Jun-00,2451710
0.785,12-Jun-00,2451708
0.751,08-Jun-00,2451704
0.757,07-Jun-00,2451703
0.755,05-Jun-00,2451701
0.767,01-Jun-00,2451697
0.778,30-May-00,2451695
0.804,25-May-00,2451690
0.761,23-May-00,2451688
0.8,19-May-00,2451684
0.786,17-May-00,2451682
0.801,15-May-00,2451680
0.79,11-May-00,2451676
0.723,09-May-00,2451674
0.685,05-May-00,2451670
0.695,03-May-00,2451668
0.742,02-May-00,2451667
0.727,28-Apr-00,2451663
0.723,26-Apr-00,2451661
0.743,24-Apr-00,2451659
0.798,19-Apr-00,2451654
0.735,17-Apr-00,2451652
0.708,13-Apr-00,2451648
0.67,11-Apr-00,2451646
0.684,07-Apr-00,2451642
0.702,05-Apr-00,2451640
0.734,03-Apr-00,2451638
0.778,30-Mar-00,2451634
0.75,28-Mar-00,2451632
0.699,24-Mar-00,2451628
0.695,22-Mar-00,2451626
0.704,20-Mar-00,2451624
0.738,16-Mar-00,2451620
0.769,14-Mar-00,2451618
0.791,10-Mar-00,2451614
0.817,08-Mar-00,2451612
0.857,06-Mar-00,2451610
0.852,03-Mar-00,2451607
0.826,01-Mar-00,2451605
0.799,28-Feb-00,2451603
0.773,24-Feb-00,2451599
0.752,22-Feb-00,2451597
0.759,17-Feb-00,2451592
0.772,15-Feb-00,2451590
0.756,11-Feb-00,2451586
0.765,09-Feb-00,2451584
0.799,07-Feb-00,2451582
0.831,03-Feb-00,2451578
0.8,01-Feb-00,2451576
0.758,28-Jan-00,2451572
0.788,26-Jan-00,2451570
0.838,24-Jan-00,2451568
0.92,20-Jan-00,2451564
0.842,19-Jan-00,2451563
0.764,14-Jan-00,2451558
0.732,12-Jan-00,2451556
0.734,10-Jan-00,2451554
0.734,06-Jan-00,2451550
0.729,04-Jan-00,2451548
0.729,29-Dec-99,2451542
0.72,27-Dec-99,2451540
0.716,22-Dec-99,2451535
0.729,20-Dec-99,2451533
0.697,15-Dec-99,2451528
0.664,13-Dec-99,2451526
0.671,09-Dec-99,2451522
0.688,07-Dec-99,2451520
0.69,03-Dec-99,2451516
0.665,01-Dec-99,2451514
0.69,29-Nov-99,2451512
0.707,23-Nov-99,2451506
0.69,19-Nov-99,2451502
0.697,17-Nov-99,2451500
0.677,15-Nov-99,2451498
0.651,11-Nov-99,2451494
0.642,09-Nov-99,2451492
0.621,05-Nov-99,2451488
0.61,03-Nov-99,2451486
0.6,01-Nov-99,2451484
0.584,28-Oct-99,2451480
0.62,26-Oct-99,2451478
0.625,22-Oct-99,2451474
0.59,20-Oct-99,2451472
0.599,18-Oct-99,2451470
0.593,14-Oct-99,2451466
0.595,12-Oct-99,2451464
0.572,07-Oct-99,2451459
0.595,05-Oct-99,2451457
0.626,01-Oct-99,2451453
0.627,29-Sep-99,2451451
0.634,27-Sep-99,2451449
0.632,23-Sep-99,2451445
0.6,21-Sep-99,2451443
0.607,20-Sep-99,2451442
0.617,16-Sep-99,2451438
0.616,14-Sep-99,2451436
0.627,10-Sep-99,2451432
0.6,08-Sep-99,2451430
0.586,03-Sep-99,2451425
0.581,01-Sep-99,2451423
0.586,30-Aug-99,2451421
0.57,26-Aug-99,2451417
0.576,24-Aug-99,2451415
0.582,20-Aug-99,2451411
0.573,18-Aug-99,2451409
0.562,16-Aug-99,2451407
0.563,12-Aug-99,2451403
0.56,10-Aug-99,2451401
0.548,06-Aug-99,2451397
0.367,11-Mar-99,2451249
0.348,09-Mar-99,2451247
0.337,05-Mar-99,2451243
0.329,03-Mar-99,2451241
0.314,01-Mar-99,2451239
0.326,25-Feb-99,2451235
0.308,23-Feb-99,2451233
0.298,19-Feb-99,2451229
0.29,17-Feb-99,2451227
0.299,12-Feb-99,2451222
0.303,10-Feb-99,2451220
0.3,08-Feb-99,2451218
0.311,05-Feb-99,2451215
0.329,03-Feb-99,2451213
0.326,01-Feb-99,2451211
0.333,28-Jan-99,2451207
0.313,26-Jan-99,2451205
0.334,22-Jan-99,2451201
0.313,20-Jan-99,2451199
0.297,15-Jan-99,2451194
0.338,13-Jan-99,2451192
0.369,11-Jan-99,2451190
0.357,07-Jan-99,2451186
0.336,05-Jan-99,2451184
0.324,31-Dec-98,2451179
0.312,29-Dec-98,2451177
0.298,24-Dec-98,2451172
0.298,22-Dec-98,2451170
0.3,18-Dec-98,2451166
0.329,16-Dec-98,2451164
0.309,14-Dec-98,2451162
0.302,09-Dec-98,2451157
0.304,07-Dec-98,2451155
0.306,03-Dec-98,2451151
0.296,01-Dec-98,2451149
0.32,25-Nov-98,2451143
0.336,23-Nov-98,2451141
0.349,19-Nov-98,2451137
0.351,17-Nov-98,2451135
0.381,13-Nov-98,2451131
0.391,11-Nov-98,2451129
0.384,09-Nov-98,2451127
0.404,05-Nov-98,2451123
0.42,03-Nov-98,2451121
0.42,30-Oct-98,2451117
0.414,28-Oct-98,2451115
0.408,26-Oct-98,2451113
0.41,22-Oct-98,2451109
0.411,20-Oct-98,2451107
0.424,16-Oct-98,2451103
0.418,13-Oct-98,2451100
0.42,09-Oct-98,2451096
0.436,07-Oct-98,2451094
0.449,05-Oct-98,2451092
0.43,01-Oct-98,2451088
0.448,30-Sep-98,2451087
0.433,28-Sep-98,2451085
0.432,24-Sep-98,2451081
0.435,22-Sep-98,2451079
0.443,18-Sep-98,2451075
0.413,16-Sep-98,2451073
0.418,14-Sep-98,2451071
0.418,10-Sep-98,2451067
0.395,08-Sep-98,2451065
0.407,03-Sep-98,2451060
0.393,01-Sep-98,2451058
0.367,28-Aug-98,2451054
0.363,26-Aug-98,2451052
0.366,24-Aug-98,2451050
0.374,20-Aug-98,2451046
0.363,18-Aug-98,2451044
0.378,14-Aug-98,2451040
0.368,12-Aug-98,2451038
0.375,10-Aug-98,2451036
2.111,08-Mar-10,2455264
2.091,04-Mar-10,2455260
2.077,02-Mar-10,2455258
2.055,26-Feb-10,2455254
2.057,24-Feb-10,2455252
2.073,22-Feb-10,2455250
2.054,18-Feb-10,2455246
1.986,16-Feb-10,2455244
1.956,11-Feb-10,2455239
1.954,09-Feb-10,2455237
1.915,04-Feb-10,2455232
2.021,02-Feb-10,2455230
1.91,29-Jan-10,2455226
1.923,27-Jan-10,2455224
1.94,22-Jan-10,2455219
2.006,20-Jan-10,2455217
2.049,15-Jan-10,2455212
2.082,13-Jan-10,2455210
1.346,03-Nov-16,2457696
1.412,01-Nov-16,2457694
1.436,28-Oct-16,2457690
1.45,25-Oct-16,2457687
1.466,21-Oct-16,2457683
1.473,19-Oct-16,2457681
1.447,17-Oct-16,2457679
1.46,12-Oct-16,2457674
1.465,10-Oct-16,2457672
1.49,06-Oct-16,2457668
1.445,04-Oct-16,2457666
1.418,30-Sep-16,2457662
1.369,28-Sep-16,2457660
1.324,26-Sep-16,2457658
1.337,22-Sep-16,2457654
1.284,19-Sep-16,2457651
1.306,15-Sep-16,2457647
1.319,13-Sep-16,2457645
1.327,09-Sep-16,2457641
1.321,07-Sep-16,2457639
1.278,05-Sep-16,2457637
1.274,01-Sep-16,2457633
1.384,30-Aug-16,2457631
1.412,26-Aug-16,2457627
1.403,24-Aug-16,2457625
1.355,22-Aug-16,2457623
1.396,18-Aug-16,2457619
1.321,15-Aug-16,2457616
1.249,11-Aug-16,2457612
1.202,09-Aug-16,2457610
1.193,05-Aug-16,2457606
1.156,03-Aug-16,2457604
1.133,01-Aug-16,2457602
1.142,28-Jul-16,2457598
1.192,26-Jul-16,2457596
1.231,22-Jul-16,2457592
1.277,20-Jul-16,2457590
1.242,18-Jul-16,2457588
1.288,14-Jul-16,2457584
1.303,11-Jul-16,2457581
1.302,07-Jul-16,2457577
1.358,05-Jul-16,2457575
1.396,30-Jun-16,2457570
1.358,28-Jun-16,2457568
1.349,24-Jun-16,2457564
1.384,22-Jun-16,2457562
1.4,20-Jun-16,2457560
1.304,16-Jun-16,2457556
1.374,14-Jun-16,2457554
1.392,10-Jun-16,2457550
1.418,07-Jun-16,2457547
1.362,03-Jun-16,2457543
1.373,01-Jun-16,2457541
1.37,30-May-16,2457539
1.367,26-May-16,2457535
1.375,24-May-16,2457533
1.378,20-May-16,2457529
1.362,18-May-16,2457527
1.329,16-May-16,2457525
1.262,12-May-16,2457521
1.213,10-May-16,2457519
1.209,06-May-16,2457515
1.202,04-May-16,2457513
1.213,02-May-16,2457511
1.397,28-Apr-16,2457507
1.175,25-Apr-16,2457504
1.185,21-Apr-16,2457500
1.154,19-Apr-16,2457498
1.112,15-Apr-16,2457494
1.166,13-Apr-16,2457492
1.12,11-Apr-16,2457490
1.036,07-Apr-16,2457486
0.951,05-Apr-16,2457484
1.005,01-Apr-16,2457480
1.028,30-Mar-16,2457478
1.061,28-Mar-16,2457476
1.064,24-Mar-16,2457472
1.14,22-Mar-16,2457470
1.11,18-Mar-16,2457466
1.105,16-Mar-16,2457464
1.089,11-Mar-16,2457459
1.109,09-Mar-16,2457457
1.096,07-Mar-16,2457455
1.002,03-Mar-16,2457451
0.996,01-Mar-16,2457449
0.935,26-Feb-16,2457445
0.934,24-Feb-16,2457443
0.949,22-Feb-16,2457441
1.001,18-Feb-16,2457437
0.954,16-Feb-16,2457435
1.002,12-Feb-16,2457431
0.925,10-Feb-16,2457429
1.018,08-Feb-16,2457427
1.041,04-Feb-16,2457423
0.936,02-Feb-16,2457421
1.013,29-Jan-16,2457417
0.963,27-Jan-16,2457415
0.865,25-Jan-16,2457413
0.835,21-Jan-16,2457409
0.849,19-Jan-16,2457407
0.868,15-Jan-16,2457403
0.887,13-Jan-16,2457401
0.925,11-Jan-16,2457399
0.972,07-Jan-16,2457395
1.035,05-Jan-16,2457393
1.026,01-Jan-16,2457389
1.019,30-Dec-15,2457387
1.013,28-Dec-15,2457385
1.035,24-Dec-15,2457381
1.013,22-Dec-15,2457379
1.002,17-Dec-15,2457374
1.016,15-Dec-15,2457372
1.035,11-Dec-15,2457368
1.161,09-Dec-15,2457366
1.221,04-Dec-15,2457361
1.19,02-Dec-15,2457359
1.237,30-Nov-15,2457357
1.303,26-Nov-15,2457353
1.289,24-Nov-15,2457351
1.251,20-Nov-15,2457347
1.267,17-Nov-15,2457344
1.279,13-Nov-15,2457340
1.342,11-Nov-15,2457338
1.403,09-Nov-15,2457336
1.427,04-Nov-15,2457331
1.412,02-Nov-15,2457329
3.083,07-Mar-08,2454533
3.069,05-Mar-08,2454531
2.963,03-Mar-08,2454529
2.935,28-Feb-08,2454525
2.89,26-Feb-08,2454523
2.843,22-Feb-08,2454519
2.857,20-Feb-08,2454517
2.754,14-Feb-08,2454511
2.685,12-Feb-08,2454509
2.617,08-Feb-08,2454505
2.481,06-Feb-08,2454503
2.534,04-Feb-08,2454501
2.572,31-Jan-08,2454497
2.58,29-Jan-08,2454495
2.565,25-Jan-08,2454491
2.501,23-Jan-08,2454489
2.586,18-Jan-08,2454484
2.6,16-Jan-08,2454482
2.623,14-Jan-08,2454480
2.59,10-Jan-08,2454476
2.66,08-Jan-08,2454474
2.716,04-Jan-08,2454470
2.745,02-Jan-08,2454468
2.669,28-Dec-07,2454463
2.591,24-Dec-07,2454459
2.59,20-Dec-07,2454455
2.555,18-Dec-07,2454453
2.608,14-Dec-07,2454449
2.667,12-Dec-07,2454447
2.563,07-Dec-07,2454442
2.544,05-Dec-07,2454440
2.574,03-Dec-07,2454438
2.632,29-Nov-07,2454434
2.718,27-Nov-07,2454432
2.754,21-Nov-07,2454426
2.672,19-Nov-07,2454424
2.628,15-Nov-07,2454420
2.587,13-Nov-07,2454418
2.698,08-Nov-07,2454413
